"","ano","populacao","Sigla","CÃ³digo","Brasil","V33","casos_totais","casos_pred","casos_totais_imput","taxa_100k","coef_insiden","coef_insiden2","coef_insiden4","incidencia_ibge"
"1",1980,1.19e+08,NA,NA,NA,NA,1,412.391060471549,1,0.000840336134453781,0.000840336134453781,0.00840336134453781,0.840336134453782,NA
"2",1981,1.22e+08,NA,NA,NA,NA,2,1484.44931899586,2,0.00163934426229508,0.00163934426229508,0.0163934426229508,1.63934426229508,NA
"3",1982,124200000,NA,NA,NA,NA,4,2270.62537524701,4,0.00322061191626409,0.00322061191626409,0.0322061191626409,3.22061191626409,NA
"4",1983,126300000,NA,NA,NA,NA,30,3021.06615621403,30,0.0237529691211401,0.0237529691211401,0.237529691211401,23.7529691211401,NA
"5",1984,128400000,NA,NA,NA,NA,93,3771.50693718105,93,0.0724299065420561,0.0724299065420561,0.724299065420561,72.4299065420561,NA
"6",1985,130500000,NA,NA,NA,NA,406,4521.94771814806,406,0.311111111111111,0.311111111111111,3.11111111111111,311.111111111111,NA
"7",1986,132500000,NA,NA,NA,NA,786,5236.65322383093,786,0.593207547169811,0.593207547169811,5.93207547169811,593.207547169811,NA
"8",1987,134600000,NA,NA,NA,NA,1897,5987.09400479795,1897,1.40936106983655,1.40936106983655,14.0936106983655,1409.36106983655,NA
"9",1988,136700000,NA,NA,NA,NA,3135,6737.53478576496,3135,2.29334308705194,2.29334308705194,22.9334308705194,2293.34308705194,NA
"10",1989,138800000,NA,NA,NA,NA,4950,7487.97556673198,4950,3.56628242074928,3.56628242074928,35.6628242074928,3566.28242074928,NA
"11",1990,1.49e+08,NA,NA,NA,NA,6562,11132.9736457146,6562,4.40402684563758,4.40402684563758,44.0402684563758,4404.02684563758,"6,29"
"12",1991,146830000,NA,NA,NA,NA,9215,10357.5181720487,9215,6.27596540216577,6.27596540216577,62.7596540216577,6275.96540216577,"8,24"
"13",1992,149236984,"BR",0,"Brasil",NA,12092,11217.660530494,12092,8.1025491643546,8.1025491643546,81.0254916435459,8102.54916435459,"10,2"
"14",1993,151571727,"BR",0,"Brasil",NA,14250,12051.9873687213,14250,9.4014895007431,9.4014895007431,94.014895007431,9401.4895007431,"11,49"
"15",1994,153725670,"BR",0,"Brasil",NA,15098,12821.7048292348,15098,9.82139157370399,9.82139157370399,98.2139157370399,9821.39157370399,"12,44"
"16",1995,155822440,"BR",0,"Brasil",NA,16879,13570.9913608101,16879,10.8322010616699,10.8322010616699,108.322010616699,10832.2010616699,"14,06"
"17",1997,159636413,"BR",0,"Brasil",NA,22208,14933.9251116231,22208,13.9116130102472,13.9116130102472,139.116130102472,13911.6130102472,"17,17"
"18",1998,161790311,"BR",0,"Brasil",NA,27185,15703.6264912627,27185,16.8026131057996,16.8026131057996,168.026131057996,16802.6131057996,"18,74"
"19",1999,163947554,"BR",0,"Brasil",NA,24814,16474.5232158606,24814,15.1353279720172,15.1353279720172,151.353279720172,15135.3279720172,"16,92"
"20",2000,166112518,"BR",0,"Brasil",NA,23808,17248.1790610632,23808,14.3324538611834,14.3324538611834,143.324538611834,14332.4538611834,"17,82"
"21",2001,172385826,"BR",0,"Brasil",NA,24245,19489.9629442854,24245,14.0643813720509,14.0643813720509,140.643813720509,14064.3813720509,"18,17"
"22",2002,174632960,"BR",0,"Brasil",NA,24320,20292.982465189,24320,13.92635158907,13.92635158907,139.2635158907,13926.35158907,"21,45"
"23",2003,176871437,"BR",0,"Brasil",NA,NA,21092.9083833113,17484.9485835494,9.88568243698353,9.88568243698353,98.8568243698353,9885.68243698353,"20,98"
"24",2004,181569056,"BR",0,"Brasil",NA,0,22771.6154647615,22771,12.5412338983577,12.5412338983577,125.412338983577,12541.2338983577,"20,04"
"25",2005,184184264,"BR",0,"Brasil",NA,29431,23706.1672428145,29431,15.9791066624454,15.9791066624454,159.791066624454,15979.1066624454,"19,29"
"26",2006,186770562,"BR",0,"Brasil",NA,27716,24630.3879527828,27716,14.8395976877769,14.8395976877769,148.395976877769,14839.5976877769,"18,14"
"27",2008,189605006,"BR",0,"Brasil",NA,27512,25643.2843189576,27512,14.5101654119828,14.5101654119828,145.101654119828,14510.1654119828,"18,18"
"28",2009,191480630,"BR",0,"Brasil",NA,29864,26313.5437186531,29864,15.5963556209315,15.5963556209315,155.963556209315,15596.3556209315,NA
"29",2011,192379287,"BR",0,"Brasil",NA,35795,26634.6812714633,35795,18.6064729515293,18.6064729515293,186.064729515293,18606.4729515293,NA
"30",2012,193904015,"BR",0,"Brasil",NA,33949,27179.5470195977,33949,17.5081470076832,17.5081470076832,175.081470076832,17508.1470076832,NA
"31",2013,201032714,"BR",0,"Brasil",NA,34311,29727.0072314257,34311,17.0673714328903,17.0673714328903,170.673714328903,17067.3714328903,NA
"32",2014,202768562,"BR",0,"Brasil",NA,32727,30347.31729274,32727,16.1400759946209,16.1400759946209,161.400759946209,16140.0759946209,NA
"33",2015,204450049,"BR",0,"Brasil",NA,30941,30948.2013010571,30941,15.1337699116912,15.1337699116912,151.337699116912,15133.7699116912,NA
"34",2016,206081432,"BR",0,"Brasil",NA,NA,31531.1805070458,32671.2731725003,15.8535744125169,15.8535744125169,158.535744125168,15853.5744125169,NA
"35",2017,207660929,"BR",0,"Brasil",NA,NA,32095.6181081006,34139.762149316,16.4401470771211,16.4401470771211,164.401470771211,16440.1470771211,NA
"36",2018,208494900,"BR",0,"Brasil",NA,27254,32393.6399407406,27254,13.0717825711804,13.0717825711804,130.717825711804,13071.7825711804,NA
"37",2019,210147125,"BR",0,"Brasil",NA,26711,32984.067092804,26711,12.7106188105119,12.7106188105119,127.106188105119,12710.6188105119,NA
"38",2020,211755692,"BR",0,"Brasil",NA,NA,33558.8929383839,38821.8565753933,18.3333237509352,18.3333237509352,183.333237509352,18333.3237509352,NA
"39",2021,213317639,"BR",0,"Brasil",NA,NA,34117.0589986263,40555.1936169467,19.0116456412433,19.0116456412433,190.116456412433,19011.6456412433,NA
"40",2024,212583750,"BR",0,"Brasil",NA,10694,33854.8017441963,10694,5.03048798414742,5.03048798414742,50.3048798414742,5030.48798414742,NA
"41",2025,213421037,"BR",0,"Brasil",NA,NA,34154.0085585646,46921.3986243972,21.9853671802734,21.9853671802734,219.853671802734,21985.3671802734,NA
